lemma,HasProperty,MotivatedByGoal,CapableOf,NotUsedFor,HasFirstSubevent,Desires,InstanceOf,DerivedFrom,HasSubevent,RelatedTo,CausesDesire,MadeOf,SymbolOf,PartOf,EtymologicallyDerivedFrom,UsedFor,AtLocation,Synonym,IsA,Causes,TranslationOf
懷想,,,,,,,,,,,,,,,,,,,,,
懷鄉,,,,,,,,,,,,,,,,,,,,,
懷春,,,,,,,,,,,,,,,,,,,,,
懷恨,,,,,,,,,,,,,,,,,,,,,
懷念,,,,,,,,,夢到情人,,,,,,,,,,舊愛,"想哭,想念,沈默,想起以前的事,想起過去,心裡安靜下來,想流淚,翻看舊照片,翻看舊信,想一個人靜靜",
懶蟲,,,,,,"睡覺,睡",,,,,,,,,,,,,,,
懶散,,,,,,,,,睡過頭,,,人,,,,,,,,"失業,亂,髒,失敗,肥胖",
懶惰,,,,,,"睡覺,教練",,,"想睡覺,胖,大雄,睡覺",,"花錢,放假,放棄",,,,,,,,"病,壞習慣,行為","肥胖,變胖,失敗,睡覺,不洗澡,生病,翹課,習慣不好,惡運,環境髒亂,一事無成,人生潰敗,懶散,狼狽不堪,變醜,事情做不完,太胖,經濟蕭條",
懶趴,,,,,,,,,,,,,,,,,,,,,
懶洋洋,,,睡覺,,,,,,,,,,,,,,,,,,
懶叫,,,,,,"牙套,保險套,菜花,泡疹",,,,,,,,,,,,,,,
懶,,"自己煮,念書",,,,睡覺,,,不想唸書,,"窩在家,睡覺,賴床",,,,,,,,,"垃圾積太多,翹課,胖,挨餓,不整理房間,變胖,不想做事,吃泡麵,墮落,買網拍,髒亂,無聊,睡過頭,賴床",
懲罰,,,,,,,,,,,,,,,,,,,,,
寵壞,,,,,,,,,,,,,,,,,,,,,
寵愛,,"愛,喜歡","寵壞人,溺愛,變質,寵壞寵物,養成習慣,讓人感到幸福,害人,讓人開心,變成溺愛",,,,,,,,,,,,,,,,,"變笨,墮落",
寵辱不驚,,,,,,,,,,,,,,,,,,,,,
寵幸,,,,,,,,,,,,,,,,,,,,,
寵,,,,,,,,,,,,,,,,,,,,,
壞運,,,,,,,,,,,,,,,,,,,,"壞心情,病痛,悲傷,口角,破財,爭執,衰事",
壞話,,,,,,,,,,,,,,,,,,,,,
壞蛋,,,,,,"警察,坐牢,小孩,法律,危險行為,毀滅世界,子彈,影子,打雷,柯博文,鬼",,,狂派,,,,,,,,警察局,,,生氣,
壞處,,,,,,,,,,,,,,,,,,,,,
壞事,,,,,,,,,警鈴響,,,,,,,,,,,"生氣,惡運,難過",
壞死,,,,,,,,,,,,,,,,,,,,,
壞心,,,,,,,,,,,,,,,,,,,,,
壞人,,,"打人,殺人,偷竊",,,"警察,好人,鬼,狗,我,法官,超人,錢,神,法律,被關,報應,手槍,包青天,美少女戰士,蜘蛛人,人,光明,天使,打人,波麗士,男人",,,,,,,,,,,"監獄,門,警察局",,,"生氣,偷東西",
鬆懈,,,,,,,,,,,,,,,,,,,,"放縱,睡覺",
鬆快,,,,,,,,,,,,,,,,,,,,,
騎虎難下,,,,,"咬人,打老虎,下海,跳下來",,,,,,,,,,,,,,,,
額手稱慶,,,,,,,,,,,,,,,,,,,,,
鞭長莫及,,,,,,,,,,,,,,,,,,,,,
離婚,,結婚紀念日,"單身,自由",,申請,贍養費,,,,,,,,,,,,,,"難過,傷心,悲傷,再婚,很難過,一個人生活,哭,心碎,解脫,不爽,想死,有失落感,流淚",
雞掰,,,,,,,,,,,,,,,,,,,,,
雞巴,,,,,,,,,,,,,,,,,,,,,
雜亂,,,,,,,,,,,,,,,,,,,,整理房間,
鎮壓,,,,,,,,,,,,,,,,,,,,,
鎮靜,,,,,,,,,,,,,,,,,,,,,
鎮定自若,,,,,,,,,,,,,,,,,,,,,
鎮定,,,,,,,,,,,,,,,,,,,,,
轉悲為喜,,,,,,,,,,,,,,,,,,,,,
蹩腳,,,,,,,,,,,,,,,,,,,,,
蹧蹋,,,,,,,,,,,,,,,,,,,,,
豐富,,,,,,,,,"幸福,分享",,,,,,,,,,,,
謹慎,,"知心的朋友,前途",,,,,,,,,,,,,,,,,,"小心,消災",
藐視,,,,,,,,,,,,,,,,,,,,,
藐,,,,,,,,,,,,,,,,,,,,,
翻然悔悟,,,,,,,,,,,,,,,,,,,,,
翹首以待,,,,,,,,,,,,,,,,,,,,,
翹企,,,,,,,,,,,,,,,,,,,,,
簡潔,,,,,,,,,,,,,,,,,,,,,
歸咎,,,,,,,,,,,,,,,,,,,,,
歸依,,,,,,,,,,,,,,,,,,,,,
歸心似箭,,,,,,,,,,,,,,,,,,,,,
斷線風箏,,,,,,,,,,,,,,,,,,,,,
斷腸,,,,,,,,,,,,,,,,,,,,,
懣,,,,,,,,,,,,,,,,,,,,,
嚮往,,,,,,,,,,,,,,,,,,,,"出去玩,想飛",
鮮美,,,,,,,,,,,,,,,,,,,,,
鮮明,,,,,,,,,,,,,,,,,,,,,
騁懷,,,,,,,,,,,,,,,,,,,,,
鍾愛,,,,,,,,,,,,,,,,,,,,,
鍾情,,,,,,,,,,,,,,,,,,,,,
醜,,"不開心,扮鬼臉",,,,,,,"化妝,整形,打扮",,整型,,,,,,,,,"化妝,反感,自卑",
賽,,,,,,,,,,,,,,,,,,,,臭味勳天,
豁朗,,,,,,,,,,,,,,,,,,,,,
謝謝,,,,,,,,,,"/c/de/danke,多谢,/c/en/thank_you,感谢",,,,,,,,,,有禮貌喔,/c/de/danke_(1)
謝意,,,,,,,,,,,,,,,,,,,,,
謝天謝地,,,,,,,,,,,,,,,,,,,,,
講究,,,,,,,,,,,,,,,,,,,,,
講求,,,,,,,,,,,,,,,,,,,,,
覬覦,,,,,,,,,,,,,,,,,,,,,
褻瀆,,,,,,,,,,,,,,,,,,,,,
虧損,,,,,,,,,,,,,,,,,,,,,
虧心,,,,,,,,,,,,,,,,,,,,,
薄,,,,,,,,,,,,,,,,,,,,,
艱難,,,,,,,,,,,,,,,,,,,,,
艱澀,,,,,,,,,,,,,,,,,,,,,
艱險,,,,,,,,,,,,,,,,,,,,,
艱鉅,,,,,,,,,,,,,,,,,,,,,
艱深,,,,,,,,,,,,,,,,,,,,,
艱苦,,,,,,,,,,,,,,,,,,,,,
艱辛,,,,,,,,,,,,,,,,,,,,,
艱困,,,,,,,,,,,,,,,,,,,,作弊,
臨淵羨魚,,,,,,,,,,,,,,,,,,,,,
臊,,,,,,,,,,,,,,,,,,,,,
臉紅脖子粗,,,,,,,,,,,,,,,,,,,,,
臉紅,,"害羞,生氣,不好意思,告白,興奮,剛運動完",,,,,,,"害羞,心跳加快,不好意思",,,,害羞,,,,,,害羞,"害羞,心跳",
臉皮薄,,,,,,,,,,,,,,,,,,,,,
臉皮厚,,,,,,,,,,,,,,,,,,,,,
膽顫心驚,,,,,,,,,,,,,,,,,,,,,
膽戰心驚,,,,,,,,,,,,,,,,,,,,,
膽量,,,,,,,,,,,,,,,,,,,"勇氣,力氣,需要培養",,
膽寒,,,,,,,,,,,,,,,,,,,,,
膽破心驚,,,,,,,,,,,,,,,,,,,,,
膽怯,,,,,,,,,,,,,,,,,,,,,
膽小,,,,,,,,,你被嚇到,,落跑,,,,,,,,,"害怕,很害怕,不敢走夜路,恐懼,不願嘗試,借酒裝瘋,暗槓,無力,緊張,不看鬼片,嚇到,開燈",
聳人聽聞,,,,,,,,,,,,,,,,,,,,,
聲嘶力竭,,,,,,,,,,,,,,,,,,,,燒聲,
聲淚俱下,,,,,,,,,,,,,,,,,,,,,
聲名狼藉,,,,,,,,,,,,,,,,,,,,,
聰明,,"女朋友,劈腿不被抓,賺錢,女友",,,,,,,"成績好,我",,,,,,,,,,,"反被聰明誤,反應快,天才,財富,成績好",
繃臉,,,,,,,,,,,,,,,,,,,,,
繃緊,,,,,,,,,,,,,,,,,,,,,
繁瑣,,,,,,,,,,,,,,,,,,,,,
縮頭縮腦,,,,,,,,,,,,,,,,,,,,,
糟蹋,,,,,,,,,,,,,,,,,,,,,
糟糕,,,,,,,,,,,,,,,,,,,,,
糟心,,,,,,,,,,,,,,,,,,,,,
糟,,,,,,,,,,,超車,,,,,,,,,,
瞪眼,,,,,,,,,,,,,"生氣,不爽",,,,,,,,
瞧得起,,,,,,,,,,,,,,,,,,,,,
瞧不起,,,,,,,,,,,,,,,,,,,,,
獲獎,,,,,,,,,,,,,,,,,,,,,
