lemma,HasProperty,MotivatedByGoal,CapableOf,NotUsedFor,HasFirstSubevent,Desires,InstanceOf,DerivedFrom,HasSubevent,RelatedTo,CausesDesire,MadeOf,SymbolOf,PartOf,EtymologicallyDerivedFrom,UsedFor,AtLocation,Synonym,IsA,Causes,TranslationOf
強硬,,,,,,,,,,,,,,,,,,,,,
強健,,,,,,,,,,,,,,,,,,,,,
強烈,,,,,,,,,,,,,,,,,,,,,
強迫,,,,,,,,,,,,,,,,,,,,,
強姦,,,罪犯,,,,,,,,,,,,,,,,,犯法,
強壯,,"運動,打人,健康,保護國家,吃飯,有肩膀,吃肉,家人,身體好",,,,,,,"爸爸,運動",,,,,,,,,,,"不怕壞人,有安全感",
強力,,,,,,,,,,,,,,,,,,,,,
強,,"好工作,好成績",,,,,,,得到第一名,,許純美,,,,,,,,,有家人,
張皇失措,,,,,,,,,,,,,,,,,,,,,
張皇,,,,,,,,,,,,,,,,,,,,,
張口結舌,,,,,,,,,,,,,,,,,,,,,
庸人自擾,,,,,,,,,,,,,,,,,,,,,
常備不懈,,,,,,,,,,,,,,,,,,,,,
崇高,,,,,,,,,,,,,,,,,,,,,
崇拜,,,,,,,,,,,,,,,,,,,,愛蘿莉,
崇奉,,,,,,,,,,,,,,,,,,,,,
將信將疑,,,,,,,,,,,,,,,,,,,,,
寂寥,,,,,,,,,異鄉人,,,,,,,,,,,,
寂寞,孤獨,"孤單,沒朋友,沒人陪,一個人,無聊",,,,,,,"睡覺,唱歌,找人聊天",,"哭,養寵物,找朋友,談戀愛,睡覺,看電視,哭哭",,,,,,,,感覺,"難過,想哭,空虛,無聊,孤單,找人陪,想找人陪,找人聊天,哭泣,傷心,愛",
婊子,,,,,,,,,,,,,,,,,,,,,
娼妓,,,,,,,,,,,,,,,,,妓院,,,,
堵,,,,,,,,,,,,,,,,,,,,,
堅強,,"硬度,很多錢",,,,哭泣,,,,,,,,,,,犀利人妻,,,,
堅定,,,,,,,,,,,,,,,,,,,,,
堅決,,,,,,,,,,,,,,,,,,,,,
執拗,,,,,,,,,,,,,,,,,,,,,
啥洨,,,,,,,,,,,,,,,,,,,,,
啥小,,,,,,,,,,,,,,,,,,,,,
啞然失笑,,,,,,,,,,,,,,,,,,,,,
啞口無言,,,,,,,,,,,,,,,,,,,,,
啜泣,,"傷心,覺得煩,開心",,,,,,,,,,,,,,,,,哭泣,,
問心無愧,,,,,,,,,,,,,,,,,,,,"麻煩,滿足,壓力",
問心有愧,,,,,,,,,,,,,,,,,,,,,
唾棄,,開圖,,,,,,,,,,,,,,,,,,,
唬爛,,,,,,,,,,,,,,,,,,,,噓文,
務期,,,,,,,,,,,,,,,,,,,,,
動聽,,,,,,,,,,,,,,,,,,,,,
動魄驚心,,,,,,,,,,,,,,,,,,,,,
動感情,,,,,,,,,,,,,,,,,,,,,
動情,,,,,,,,,,,,,,,,,,,,,
動氣,,,,,,,,,,,,,,,,,,,,,
動容,,,,,,,,,,,,,,,,,,,,,
動怒,,,,,,,,,,,,,,,,,,,,,
動肝火,,,,,,,,,,,,,,,,,,,,,
動火,,,,,,,,,,,,,,,,,,,,,
動心,,,,,,,,,,,,,,,,,,,感覺,,
動人心魄,,,,,,,,,,,,,,,,,,,,,
動人,,,,,,,,,,,,,,,,,,,,,
偽造,,,,,,,,,,,,,,,,,,,,,
偷竊,,"頭殼壞掉,想坐牢",,,,,,,,,報警,,,,,,,,壞事情,"麻煩,被關,財富,坐牢,犯罪,案底,警察,錢,快感,公憤,失主很大困擾,法律責任,被眾人唾棄,人格喪失,恐慌,罪惡,偷竊罪,危險,去警察局,賠錢,道德譴責,罪過,背警察抓,被抓,被老師罰,不滿,不良紀錄,偷來的東西,刑責,前科,媽媽傷心,罰金,被抓去關,被罵,遺失,有錢,良心不安,被槍斃,人品全歿",
偷取,,,,,,,,,,,,,,,,,,,,,
偷,,"錢,棉被,吃牢飯,果實",坐牢,,,,,,,,,,,,,,,,,"錢財,犯法",
側重,,,,,,,,,,,,,,,,,,,,,
做賊心虛,,,,,,,,,,,,,,,,,,,,,
偏愛,,,,,,,,,,,,,,,,,,,,嫉妒,
偏執,,,,,,,,,,,,,,,,,,,,,
偏重,,,,,,,,,,,,,,,,,,,,,
偏見,,,,,,,,,,,,,,,,,,,,衝突,
偏好,,,,,,,,,,,,,,,,,,,,,
偏心,,,,,,,,,,,,,,,,,,,,,
偉大,,,,,,,,,,,,智慧,,,,,,,"讚賞,神聖,貢獻,成就,榮譽,犧牲",,
假裝,,"欺騙,裝傻",,,,,,,不說髒話,,,,,"可惡,黑心,騙人",,,,,,,
假掰,,,,,,,,,,,,,,,,,,,,,
乾瞪眼,,,,,,,,,,,,,,,,,,,,,
乾著急,,,,,,,,,,,,,,,,,,,,,
乾笑,,,,,,,,,,,,,,,,,,,,,
乾,,,,,,,,,,,,,,,,,,,,,
鬼迷心竅,,,,,,,,,,,,,,,,,,,,,
鬼哭神嚎,,,,,,,,,,,,,,,,,,,,,
鬼哭狼嚎,,跪主機板,,,,,,,,,,,,,,,,,,,
鬥爭,,,,,,,,,,,,,,,,,,,,,
高興,,中樂透,,,,,,,"笑,大笑,唱歌,跳舞",,唱歌,,,,,,,,,"跳舞,大笑,快樂,唱歌,笑,微笑,開心",
高傲,,,,,,,,,,,,,,,,,,,,"眾叛親離,公幹,臭名,損失",
高雅,,,,,,,,,,,,,,,,,,,,,
高階,,,,,,,,,,,,,,,,,,,,,
高貴,,,,,,,,,金絲貓,,,,,,,,,,,,
高高興興,,,,,,,,,,,,,,,,,,,,,
馬der,,,,,,,,,,,,,,,,,,,,,
馬的,,,,,,,,,,,,,,,,,,,,,
飢不擇食,,,,,,,,,,,,,,,,,,,,,
酒酣耳熱,,,,,,,,,,,,,,,,,,,,,
逆向,,,,,,,,,,,,,,,,,,,,,
逃離,,"看到蟑螂,生氣",,,,,,,,,,,,,,,,,,,
逃避,,"膽小,害怕,做錯事,討厭,安全,懦弱,不想面對,覺得煩,有疑問,不敢面對,考試不會寫,厭倦,想哭",,,,,,,跑路,,耍白痴,,,,,,,,,"災難,想睡覺,傻笑,責罵,壓力,沒解決問題",
退避三舍,,,,,,,,,,,,,,,,,,,,,
退避,,,,,,,,,,,,,,,,,,,,,
追悼,,,,,,,,,,,,,,,,,,,,,
追悔莫及,,,,,,,,,,,,,,,,,,,,,
追悔,,,,,,,,,,,,,,,,,,,,,
迷戀,,,,,,,,,,,,,,,,,,,"幸福,癡情,單戀,戀愛,蠢",愛妳,
迷離,,,,,,,,,,,,,,,,,,,,,
迷路,,,"先查地圖,問路,看地圖",,找人,,,,"問路,打電話,看地圖,問路人,害怕,哭,擔心,問人,大哭,找路,找警察,招計程車,一路狂奔,驚慌失措,用gps",,"看地圖,買張地圖,哭喊,哭,回家,尖叫",,,,,,,,,"恐懼,走失,不知所措,很想哭,遲到,驚喜,想家",
迷亂,,,,,,,,,,,,,,,,,,,,,
迷惑不解,,,,,,,,,,,,,,,,,,,,,
迷惑,,,,,,,,,,,,,,,,,,,,,
迷惘,,,,,,,,,,,,,,,,,,,,,
迷信,,,,,,,,,,,,,,,,,乩童,,,"信仰,人心惶惶,信徒,可怕災難,觀念古板,災害,煩惱雨憂愁,瘋狂,邪教",
迷住,,,,,,,,,,,,,,,,,,,,,
迷失,,,,,,,,,找不到方向,,,,,,,,,,,,
迷人,,,,,,,,,,,,,,,,,,,,,
迷,,,,,,,,,,,,,,,,,,,,,
迴避,,打電話,,,,,,,,,,,,,,,,,,,
辱罵,,吃牢飯,,,,,,,,,,,,,,,,,,生氣,
起疑,,,,,,,,,,,,,,,,,,,,,
起笑,,瘋了,,,,,,,"一直笑,大笑,智障,亂叫,便醜,被注視,亂跳,發瘋",,,,,,,,,,,跳樓,
起肖,,,,,,,,,,,,,該吃藥了,,,,,,,裸泳,
貢獻,,,,,,,,,,,,,,,,,,,,,
記掛,,,,,,,,,,,,,,,,,,,,,
記恨,,,,,,,,,痛苦,,,,,,,,,,,,
記仇,,,,,,,,,,,,,,,,,,,,,
討厭,,,"不開心,打人",,,喜歡,,,"避不見面,恨",,"結束,生氣,打人",,不喜歡,,,,,,,"恨,不喜歡,生氣,遠離,排斥,不愛,哭,離開,打你,不爽,不睡,愛理不理,走開,跑去睡覺,離家出走",
討喜,,,,,,,,,,,,,,,,,,,,,
衷心,,,,,,,,,,,,,,,,,,,,,
衰微,,,,,,,,,,,,,,,,,,,,,
衰敗,,,,,,,,,,,,,,,,,,,,,
衰退,,,,,,,,,,,,,,,,,,,,,
衰弱,,,,,,,,,,,,,,,,,,,,,
衰老,,,,,,,,,,,,,,,,,,,,,
衰,,,,,,,,,"卡到陰,錢包不見,踩到狗屎",,,,,,,,,,,"厄運,心情不好,被罵,無妄之災",
虔誠,,,,,,,,,,,,,,,,,,,,,
荒謬,,,,,,,,,,,,,,,,,,,,,
荒唐,,,,,,,,,酒,,,,,,,,,,,,
草率,,,,,,,,,,,,,,,,,,,,,
草泥馬,,,,,,紅色的河蟹,,,,,,,,,,,,,,,
草枝擺,,,,,,,,,,,,,,,,,,,,,
草木皆兵,,,,,,,,,,,,,,,,,,,,,
茫然無措,,,,,,,,,,,,,,,,,,,,,
茫然不解,,,,,,,,,,,,,,,,,,,"/c/en/politician,/c/en/person",,
茫然,,,,,,,,,,,,,,,,,目光,,,,
茫茫然,,,,,,,,,,,,,,,,,,,,,
臭氣,,,,,,,,,,,,,,,,,,,,,
臭味,,,,,,,,,豬,,,,,,,,"大便,馬桶,廁所,垃圾桶,瓦斯,香港腳,水溝,臭豆腐,我的靴子裡",,,"想吐,聞腋下,噁心,不支倒地",
臭名遠揚,,,,,,,,,,,,,,,,,,,,,
臭名昭著,,,,,,,,,,,,,,,,,,,,,
臭,"難聞,令人不舒服",,"噁心,生病,昏倒,遮鼻子",,,"洗澡,出門",,,"大便,有人放屁,雨衣",,,,,,,,"氣味,拉屎,腋下",,,,
脈脈傳情,,,,,,,,,,,,,,,,,,,,,
脆弱,,,,,,,,,,,,,,,,,,,,,
脅迫,,,,,,,,,,,,,,,,,,,,,
脅肩諂笑,,,,,,,,,,,,,,,,,,,,,
能幹,,,,,,,,,人才,,,,,,,,,,,忌妒,
耽,,,,,,,,,,,,,,,,,,,,,
缺點,,,,,,,,,,,,,,,,,"缺陷,責備",,,,
缺憾,,,,,,,,,,,,,,,,,,,,,
缺德,,,,,,,,,,,,,,,,,,,,,
缺陷,,,,,,,,,,,,,,"人生,人,身體,作品,功課,臉,成績",,,,,美,,
缺失,,,,,,,,,,,,,,,,,,,,,
缺乏,,,,,,,,,,,,,,,,,,,,,
缺少,,,,,,,,,,,,,,,,,,,,找東西,
紛爭,,,,,,,,,,,,,,,,,,,,,
納悶,,,,,,,,,,,,,,,,,,,,,
納罕,,,,,,,,,,,,,,,,,,,,,
笑瞇瞇,,"有睡飽,很開心,心情好",,,,,,,,,,,,,,,,,,,
笑嘻嘻,,"笑,快樂,看到閃光,開心的生活,幸福",,,,,,,,,,,,,,,,,,,
笑話,無聊的,,"黃色的,讓人愉悅,讓人開心,讓人放鬆,讓人覺得輕鬆",,,噓聲,,,,,"笑,大笑,哈哈笑,顆顆笑,噗哧地笑,哈哈大笑",大便,,,,樂觀者,"笨板有,笨版,喜劇",,"幽默,娛樂,放鬆,創意,休閒,哲學,大笑的方法,讓人開心的話","大笑,笑,開心,想笑,發笑,哈哈,快樂,笑容,笑笑,笑聲,笑死了,大聲笑,不好笑,放鬆,笑出來",
笑裡藏刀,,偽善,,,,,,,"笑,笑咪咪",,,,,,,,,,,,
笑逐顏開,,,,,,,,,,,,,,,,,,,,,
笑笑,,"面對他人,舒緩心情,忘掉不開心,健康,吸引他人,應酬,生活,開心,愉快",,,,,,,,,,,"有點問題,不正常,瘋了",,,,,,,,
笑容滿面,,,,,,,,,,,,,,,,,,,,,
笑容可掬,,友誼,,,,,,,,,,,,,,,,,,,
笑容,"甜美,美麗,漂亮,可愛,靦腆,愉悅,燦爛",,,,,"親和力,自信",,,,,,,"高興,快樂,心情好,親切,和藹可親",,,"快樂,開心,樂觀者,感恩","女兒,書本,小孩子",,,"快樂,幸福,朋友,好運,桃花,開心,幸運,太陽,變美麗,健康,成功",
笑盈盈,,,,,,,,,,,,,,,,,,,,,
笑哈哈,,開心,,,,,,,,,,,,,,,,,,,
笑呵呵,,開心,,,,,,,,,,,,,,,,,,,
笑吟吟,,,,,,,,,,,,,,,,,,,,,
笑死,,,,,,,,,,,,,,,,,,,,,
笑,,"開心,快樂,高興,心情好,爽,想笑,搞笑,聽到笑話,愉快",,,開心,,,,開心,,,,"開心,高興,快樂",,,,,,,"快樂,開心",
神魂顛倒,,,,,,,,,,,,,,,,,,,,,
神聖,,,,,,,,,,,,,,,,,,,,,
神經質,,很敏感,,,,,,,肚子痛,,,,,,,,,,,,
神經病,,,殺人,,,"護士,醫生,精神病,玩,家人,睡覺,藥,大筆財富,出院,發狂,人,打人",,,"內褲外穿,撐雨傘,有人罵你笨蛋",,,,,,,,"醫院,精神病院,療養院,精神病醫院,瘋人院,路盎,古代,學校,家裡,瘋子院",,"壓力表現,常態,社會隱憂,病,化學反應,症狀,神經問題","發瘋,害怕,簽自願役,打110,裸泳,別人的困擾,頭痛,嘆氣,討厭",
神往,,,,,,,,,,,,,,,,,,,,,
祝福,,"親親,生日",,,,,,,"紅包,送生日禮物,中國結,傳簡訊",,,,,,,,,,,"好運,親一個,跳舞",
祝賀,,看劉德華結婚,,,,"恭喜,拿紅包,恭喜發財,送花",,,送花,,,,,,,,,,,,
破壞,,"好玩,生氣",,,,,,,颱風,,,,,"人生,大大大破壞,大破壞,創作,大大破壞",,,,,,"災難,賠錢",
破滅,,,,,,,,,,,,,,,,,,,,,
破媌,,,,,,,,,,,,,,,,,,,,,
破麻,,,,,,,,,,,,,,,,,,,,,
眩,,,,,,,,,,,,,,,,,,,,,
真實,,,,,,,,,,,,,,,,,真言,,,,
真誠,,"女朋友,好朋友,女友,堅定的友誼,感情,朋友",,,,,,,,,,,,,,,友情裡,,,"朋友,錢財",
真理,,,,,,推翻,,,,,,,,,,,"世界,書中,真耶穌教會,人生,尋寶,旅途中,答案",,,,
真相,,,,,,,,,,,,,,,,,"答案,絕望中",,"永遠,事實,實在",制服,
真心,,"女友,愛情,好朋友,女人,朋友,友誼,友情",,,,"噓聲,無情",,,,,,"誠意,噓寒問暖,溫暖的擁抱,絕情,愛",,,,"戀愛,親親,約會","親情,真言,友情",,,"朋友,女人,美麗",
益處,,,,,,,,,,,,,,,,,,,,,
疾惡如仇,,,,,,,,,,,,,,,,,,,,,
疾首蹙額,,,,,,,,,,,,,,,,,,,,,
疾言厲色,,,,,,,,,,,,,,,,,,,,,
疾,,,,,,,,,,,,,,,,,,,,,
疼愛,,小孩,,,,,,,,,依偎,,,,,,,,,"罵你,k你,親你,打你",
疼痛,,,,,,哭,,,"吃止痛藥,吃藥,哭,看醫生,難過,流淚,哭哭",,"哭泣,大叫",,,,,,,,折磨,"哭,哭泣,呻吟,流淚,想大哭",
疼,,,,,,,,,,,,,,,,,,,,想哭,
疲憊不堪,,,,,,,,,,,,,,,,,,,,,
疲憊,,,睡覺,,,睡覺,,,"睡覺,休息,想睡覺",,"睡覺,休息,放鬆",,,,,,,,,"睡覺,想睡覺,睡著,休息,想睡,累,昏倒",
疲竭,,,,,,,,,,,,,,,,,,,,,
疲態,,,,,,,,,,,,,,,,,,,,,
疲頓,,,,,,,,,,,,,,,,,,,,,
疲勞,,累了,睡覺,,"休息,睡覺","睡覺,休息",,,"睡覺,休息,按摩",,"睡覺,休息",,,,,,,,,"睡覺,想睡覺,想睡,休息,睡著,生病,想休息,疾病,感冒,頭痛,無力",
疲軟,,,,,,,,,,,,,,,,,,,,,
疲累,,"工作,讀書",睡覺,,,睡覺,,,"睡覺,休息",,"睡覺,休息,發呆,吃飯",,,,,,,,,"睡覺,想睡,想睡覺,睡著,休息,打瞌睡,想休息,生病",
疲弱,,,,,,,,,,,,,,,,,,,,,
疲倦,,"累了,休息,熬夜",睡覺,,睡覺,睡覺,,,"睡覺,想睡覺,休息,打哈欠,想睡,看電視,打瞌睡",,"睡覺,休息",,,,,,,,,"睡覺,想睡覺,想睡,睡著,休息,睡,恍神,不想動,打瞌睡,打盹,覺得累,生病",
疲於奔命,,,,,,,,,,,,,,,,,,,,,
疲乏,,,,,,,,,,,睡覺,,,,,,,,,想睡,
疲,,,,,,,,,,,,,,,,,,,,,
畜牲,,,看靜香洗澡,,,"自由,睡覺,咕咕,我",,,,,,,,,,,動物園,,,生病了,
畜生,,,"喝水,欺負弱小,發出聲音",,,"壞人,你,搞怪",,,,,,,,,,,"美國,宿舍",,,,
留戀,,,,,,,,,,,,,,,,,,,,,
留連忘返,,,,,,,,,,,,,,,,,,,,,
珠淚盈眶,,,,,,,,,,,,,,,,,,,,,
狼狽,,,,,,,,,,,,,,,,,,,,,
狹隘,,,,,,,,,,,,,,,,,,,,,
狹路相逢,,,,,,,,,,,,,,,,,,,,,
狹小,,,,,,,,,,,,,,,,,,,,,
涕零,,,,,,,,,,,,,,,,,,,,,
涕泣,,,,,,,,,,,,,,,,,,,,,
消滅,,,,,,,,,,,,,,,,,,,,,
消極,,糟糕的思想,,,,,,,,,,,,,,,,,,,
消氣,,,,,,,,,,,,,,,,,,,,,
消沉,,,,,,,,,,,,,,,,,,,,"憂鬱症,沒強烈興趣",
浮躁,,,,,,,,,,,,,,,,,,,,,
浮動,,,,,,,,,,,,,,,,,,,,,
浪漫,"創造,簡單","愛情,約會,把妹,開心,正咩老婆,外遇",,,,,,,巴黎,,,燭光晚餐,,,,"告白,談戀愛","偶像劇,愛情",,"愛情,感覺,玫瑰花","感動,生孩子,結婚,渴望愛情,相戀,相遇",
浩歎,,,,,,,,,,,,,,,,,,,,,
泰然處之,,,,,,,,,,,,,,,,,,,,,
泰然自若,,,,,,,,,,,,,,,,,,,,,
氣餒,,,,,,,,,,,原地踏步,,,,,,,,,,
氣憤,,,,,,,,,,,打人,,,,,,,,,"想起過去,想打人",
氣鼓鼓,,,,,,,,,,,,,,,,,,,,,
氣短,,,,,,,,,,,,,,,,,,,,,
氣惱,,,,,,,,,,,,,,,,,,,,,
氣悶,,,,,,,,,,,,,,,,,,,,,
氣喘吁吁,,,,,,,,,,,,,,,,,,,,,
氣喘,,"爬山,太緊張,跑步","大口吸氣,喘不過氣,發作,呼吸困難",,,,,,"看醫生,吃藥,拿藥,不能呼吸,停止運動,努力呼吸,坐下來,拿出藥劑,休息,吃氣喘藥,噴氣管擴張劑",,,,,,,,,,,"死亡,很喘,吃救肺散,呼吸困難,不能呼吸,氣喘吁吁,不能跑步,休克,喘不過氣",
氣盛,,,,,,,,,,,,,,,,,,,,,
氣哼哼,,,,,,,,,,,,,,,,,,,,,
氣急敗壞,,,,,,,,,,,,,,,,,,,,,
氣急,,,,,,,,,,,,,,,,,,,,,
氣咻咻,,,,,,,,,,,,,,,,,,,,,
氣呼呼,,,,,,,,,,,,,,,,,,,,,
氣沖沖,,,,,,,,,,,,,,,,,,,,,
氣沖牛斗,,,,,,,,,,,,,,,,,,,,,
氣吁吁,,,,,,,,,,,,,,,,,,,,,
氣乎乎,,,,,,,,,,,,,,,,,,,,,
氣不過,,,,,,,,,,,,,,,,,,,,,
氣,,,,,,屁,,,,,,,,,,,氣球,,,,
殷憂,,,,,,,,,,,,,,,,,,,,,
殷殷,,,,,,,,,,,,,,,,,,,,,
殷切,,,,,,,,,,,,,,,,,,,,,
栩栩如生,,,,,,,,,,,,,,,,,,,,,
書呆子,,,讀書,,,"第一名,讀書,看書",,,,,,,"努力,宅,用功",,,,,,,,
時髦,,,,,,,,,,,,,,,,,,,,,
效率,,,,,,,,,,,,,,,,執行,,,,"時間,想罷免馬英九",
捐贈,,,,,,,,,,,,,,,,,,,,,
挽,,,,,,,,,,,,,,,,,,,,,
振奮,,,,,,,,,,,,,,,,,,,,,
挫敗,,,,,,,,,,,,,,,,,,,,"傷心,放棄",
挫折,,,,,,,,,"沮喪,傷心",,"放棄,哭泣,逃避,找藉口,大哭",,,進步,,,,,"痛苦,折磨,經驗,難過,上進的辦法,心態,轉淚點,過程,必經過程,磨練","難過,失敗,放棄,重新出發,不爽,哭哭,想放棄,成熟,絕望,痛苦,傷心,哭,崩潰,想罵髒話,憂鬱,不愉快,放聲大哭,罵幹",
悚,,,,,,,,,,,,,,,,,,,,,
悔過自新,,,,,,,,,,,,,,,,,,,,,
悔過,,,,,,,,,,,,,,,,,,,,,
悔罪,,,,,,,,,,,,,,,,,,,,,
悔意,,,,,,,,,,,,,,,,,,,,,
悔悟,,,,,,,,,,,,,,,,,,,,,
悔恨,,,,,,,,,哭泣,,,,,,,,愛情路,,,淚水,
悔改,,,,,,,,,,,,,,,,,,,,,
悔之晚矣,,,,,,,,,,,,,,,,,,,,,
悔之,,,,,,,,,,,,,,,,,,,,,
悔不當初,,,,,,,,,,,,,,,,,,,,,
悔,,,,,,,,,,,,,,,,,,,,,
悒悒,,,,,,,,,,,,,,,,,,,,,
悅,,,,,,,,,,,,,,,,,,,,,
悄然,,,,,,,,,,,,,,,,,,,,,
息怒,,打人,,,,,,,,,,,,,,,,,,,
恭維,,,,,,,,,,,,,,,,,,,,,
恩惠,,,,,,,,,,,,,,,,,,,,,
恩典,,,,,,,,,,,,,,,,,,,,,
恧,,,,,,,,,,,,,,,,,,,,,
恥,,,,,,,,,,,,,,,,,,,,,
恚,,,,,,,,,,,,,,,,,,,,,
恐懼,,,,,,,,,"鬼屋,上學",,"縮成一團,逃跑",,,,,,,,,"發抖,顫抖,害怕,選擇單身,冒冷汗",
恐嚇,,,,,,,,,"凌晨的電話,一顆子彈",,,,,,,,,,,害怕,
恐慌,,擔心,,,,,,,,,,,,,,,,,,"動亂,緊張,哭了,心神不寧,表情嚴肅,沒效率",
恐怖,,,尖叫,,,,,,"半夜在街上走,有人尖叫,妖怪",,,,,,,,電影裡,,,"尖叫,發瘋",
徒勞無功,,,,,,,,,,,,,,,,,,,,,
弱點,,,,,,,,,,,,,,,,,打擊,,,,
弱,,,,,,,,,吐血,,健身,,,,,,,,,,
差強人意,,,,,,,,,,,,,,,,,,,,,
差勁,,陳水扁簽名,,,,,,,,,,,,,,,,,,,
差,,,,,,,,,,,,,,,,,,,,,
容忍,,"高eq,幸福的家庭",,,,,,,,,,,,,,,,,,海闊天空,
容光煥發,,,,,,,,,,,,,,,,,,,,,
害臊,,"害羞,臉紅,不好意思,害羞了,被看穿了,臉皮薄",,,,,,,,,,,,,,,,,,,
害羞,,"告白,臉紅,放屁,約會",,,,,,,"臉紅,心跳加速",,,,,,,,,,,"臉紅,不好意思,你臉紅,臉紅心跳,不容易交到朋,不敢說話,笑",
害怕,,,,,,,,,"發抖,心跳加速,躲起來,女生在尖叫",,,,,,,,,,,"發抖,顫抖,恐懼,躲起來,尖叫,畏縮",
娛樂,,,,,,,,,電影,,,,,生活,,,電視,,放鬆,,
奚落,,,,,,,,,,,,,,,,,,,,,
埋怨,,照鏡子,,,,,,,,,打人,,,,,,,,/c/en/place,暴走,
埋三怨四,,,,,,,,,,,,,,,,,,,,,
唐突,,,,,,,,,,,,,,,,,,,,,
唏噓,,,,,,,,,,,,,,,,,,,,,
唉聲歎氣,,,,,,,,,,,,,,,,,,,,,
哽咽,,哭,,,,,,,,,,,,,,,,,,不舒服,
哮喘,,,,,,,,,,,,,,,,,,,,,
哭鬧,,"被打,累,擁抱,沒東西吃",惹人厭煩,,,,,,大吼,,分手,,,,,,,,,,
哭鼻子,,,,,,,,,,,,,,,,,,,,,
哭訴,,,,,,,,,,,,,,,,,,,,,
哭喪著臉,,,,,,,,,,,,,,,,,,,,,
哭喪,,,,,,,,,,,,,,,,,,,,,
哭喊,,,,,,,,,,,,,,,,,,,,疲憊,
哭笑不得,,,,,,,,,,,,,,,,,,,,,
哭哭啼啼,,,,,,,,,,,,,,,,,,,,,
哭泣,,"難過,傷心,悲傷,生氣,失戀,感動,發洩,喜極而泣,開心",,,,,,,流眼淚,,,,"難過,傷心",,,,,,,"傷心,難過",
哭杯,,,,,,,,,,,,,,,,,,,,,
哭叫,,,,,,,,,,,,,,,,,,,,,
哭天哭地,,,,,,,,,,,,,,,,,,,,,
哭天抹淚,,,,,,,,,,,,,,,,,,,,,
哭么,,,,,,,,,,,,,,,,,,,,,
哭,,"難過,傷心,失戀,悲傷,生氣,被罵,心情不好,痛,不開心,感動,寂寞,覺得難過",,,,,,,,,,,,,,,,,,,
原諒,,,,,,,,,微笑,,,,,,,,,,"愛,美德",釋懷,
剝奪,,,,,,,,,,,,,,,,,,,,,
凌亂,,,,,,,,,,,,,,,,,,,,,
值錢,,,,,,,,,,,,,,,,,,,,,
值得,,,,,,,,,,,,,,,,,,,,,
倦,,,,,,,,,,,,,,,,,,,,,
倚重,,,,,,,,,,,,,,,,,,,,,
倔強,,,,,,,,,,,愛護,,,,,,,,,"不低頭,好強,忍,不服輸,不認輸",
倒霉,,,,,,,,,,,,,,,,,,,,,
倒楣,,"做壞事,帶賽,壞事做太多,夠衰,遭報應,不夠善良,印堂發黑,夠壞,帶雖,運氣不好,心腸壞,口出惡言,無知,惡毒,風水不好,諸事不順",,,,,,,滑倒,,生氣,,,,,,,,,"衰事,哭泣,厄運,衰",
倒胃口,,,,,,,,,,,,,,,,,,,,,
倍感,,,,,,,,,,,,,,,,,,,,,
倉惶,,,,,,,,,,,,,,,,,,,,,
倉皇,,,,,,,,,,,,,,,,,,,,,
香爐,,,,,,,,,,,,,,"廟宇,燒金紙,燒香",,拜拜,"寺廟,廟,土地公廟,媽祖廟",,火爐,,
首創,,,,,,,,,,,,,,,,,,,,,
首要,,,,,,,,,,,,,,,,,,,,,
食不甘味,,,,,,,,,,,,,,,,,,,,,
風聲鶴唳,,,,,,,,,,,,,,,,,,,,,
風險,,,,,,,,,,,,,,,,,,,,恐懼,
風塵僕僕,,,,,,,,,,,,,,,,,,,,,
面臨,,,,,,,,,,,,,,,,,,,,,
面無血色,,,,,,,,,,,,,,,,,,,,,
面無人色,,,,,,,,,,,,,,,,,,,,,
面帶微笑,,"親切的問候,快樂的一天",,,,,,,,,,,,,,,,,,,
面紅耳赤,,吵架,,,,,,,,,,,,,,,,,,,
面如土色,,,,,,,,,,,,,,,,,,,,,
面不改色,,,,,,,,,,,,,,,,,,,,,
降級,,,,,,,,,公司評比出爐,,,,,,,,,,,,
陌生,,,,,,,,,,,,,,,,,,,,"不願嘗試,害羞",
重擔,,,,,,,,,,,,,,,,,,,,,
重視,,,,,,,,,禮物,,,,,,,,,,,,
重大,,,,,,,,,,,,,,,,,,,,,
重,,,,,,,,,大,,,,,,,,,,,,
迫害,,,,,,,,,,,,,,,,,,,,,
迫於,,,,,,,,,,,,,,,,,,,,,
迫切,,,,,,,,,,,,,,,,,,,,,
迫不得已,,,,,,,,,,,,,,,,,,,,,
迫不及待,,吃烤肉,,,,,,,,,,,,,,,,,,,
負擔,,養小孩,,,,,,,小孩,,,,,,,,,,,,
負債,,,,,,"卡債,繳房租,房貸,水電費,討債",,,,,躲起來,,,,,,"家裡,窮人",,,喝酒,
負氣,,,,,,,,,,,,,,,,,,,,,
負疚,,,,,,,,,,,,,,,,,,,,,
負心,,,,,,,,,,,,,,,,,,,,,
要緊,,,,,,,,,,,,,,,,,,,,,
要,,,,,作好準備,,,,"叫,不知道,有人看書",,,,,,,,,,,,
虐待,,,,,,,,,,,,,,,,,,,,,
